PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
180,4,Can’t stop using it!,2026-06-03 07:56:47,79,22,"#design,#mood",-0.71
181,9,I’m impressed with the speed.,2026-05-27 14:56:47,94,31,#AI,-0.15
182,4,Great performance on mobile.,2026-06-04 13:56:47,72,43,#AI,0.05
183,10,Just another day...,2026-05-29 20:56:47,77,22,#tech,-0.35
184,10,Worst experience ever.,2026-06-01 21:56:47,88,30,"#cleanUI,#fail,#love",0.08
185,8,Can’t stop using it!,2026-05-29 07:56:47,101,41,"#fail,#tech,#bug",-0.56
186,10,Can’t stop using it!,2026-06-05 04:56:47,54,8,"#social,#AI",0.5
187,4,Great performance on mobile.,2026-06-04 08:56:47,97,20,#cleanUI,0.19
188,3,Just another day...,2026-05-31 05:56:47,109,18,"#design,#cleanUI",0.6
189,9,Absolutely love the UX!,2026-05-28 15:56:47,77,4,#cleanUI,0.58
190,9,I’m impressed with the speed.,2026-06-03 01:56:47,68,39,#fail,-0.32
191,1,Great performance on mobile.,2026-06-03 04:56:47,55,10,"#mood,#social,#cleanUI",-0.74
192,2,This app keeps crashing. So annoying.,2026-06-05 06:56:47,126,16,#love,-0.95
193,10,Great performance on mobile.,2026-06-02 12:56:47,83,20,#mood,0.57
194,8,Such a smooth interface!,2026-06-02 09:56:47,122,13,"#tech,#UX,#love",-0.15
195,10,Such a smooth interface!,2026-06-02 13:56:47,28,8,"#fail,#bug,#design",-0.02
196,10,Just another day...,2026-06-04 05:56:47,139,50,#fail,0.14
197,7,Absolutely love the UX!,2026-06-01 11:56:47,90,19,"#AI,#fail,#bug",-0.58
198,7,Worst experience ever.,2026-06-05 14:56:47,65,0,"#social,#tech",0.23
199,5,Great performance on mobile.,2026-05-30 03:56:47,89,6,"#bug,#love,#social",-0.33
200,8,Such a smooth interface!,2026-05-29 21:56:47,57,29,"#fail,#design,#AI",0.46
